benchmark,time_ms,run
boyer,318.4661865234375,1
boyer,316.57886505126953,2
boyer,323.6110210418701,3
browse,1103.3589839935303,1
browse,1057.081937789917,2
browse,1064.0039443969727,3
cpstak,284.8629951477051,1
cpstak,489.83120918273926,2
cpstak,294.7719097137451,3
ctak,959.047794342041,1
ctak,1118.4048652648926,2
ctak,967.6408767700195,3
dderiv,481.33206367492676,1
dderiv,472.5661277770996,2
dderiv,638.6511325836182,3
deriv,752.208948135376,1
deriv,652.2641181945801,2
deriv,661.2520217895508,3
destruc,502.70795822143555,1
destruc,540.4329299926758,2
destruc,511.30199432373047,3
diviter,543.6978340148926,1
diviter,561.4709854125977,2
diviter,555.07493019104,3
divrec,588.918924331665,1
divrec,584.758996963501,2
divrec,558.0151081085205,3
puzzle,349.4889736175537,1
puzzle,346.33898735046387,2
puzzle,343.84799003601074,3
takl,415.0111675262451,1
takl,380.7830810546875,2
takl,373.11601638793945,3
triangl,403.96595001220703,1
triangl,412.2960567474365,2
triangl,404.5288562774658,3
fft,129.5340061187744,1
fft,129.6849250793457,2
fft,130.51700592041016,3
fib,1051.8319606781006,1
fib,1158.5900783538818,2
fib,1063.3869171142578,3
fibc,304.2740821838379,1
fibc,327.30603218078613,2
fibc,319.28491592407227,3
fibfp,1320.1839923858643,1
fibfp,1245.194911956787,2
fibfp,1251.3859272003174,3
mbrot,351.05204582214355,1
mbrot,337.68200874328613,2
mbrot,323.61888885498047,3
pnpoly,182.81292915344238,1
pnpoly,182.387113571167,2
pnpoly,187.77704238891602,3
sum,200.39010047912598,1
sum,198.25196266174316,2
sum,199.28383827209473,3
sumfp,150.15077590942383,1
sumfp,155.1520824432373,2
sumfp,149.1708755493164,3
tak,411.5750789642334,1
tak,410.66908836364746,2
tak,411.94605827331543,3
ack,510.30802726745605,1
ack,415.3430461883545,2
ack,411.1168384552002,3
conform,338.17481994628906,1
conform,339.385986328125,2
conform,335.3109359741211,3
earley,258.8942050933838,1
earley,262.0120048522949,2
earley,258.882999420166,3
graphs,193.08114051818848,1
graphs,191.82586669921875,2
graphs,190.8109188079834,3
mazefun,235.98599433898926,1
mazefun,238.83986473083496,2
mazefun,237.50710487365723,3
nqueens,200.6540298461914,1
nqueens,213.15503120422363,2
nqueens,199.23996925354004,3
paraffins,264.36495780944824,1
paraffins,269.3028450012207,2
paraffins,241.4548397064209,3
peval,300.95911026000977,1
peval,307.110071182251,2
peval,308.1398010253906,3
scheme,383.9089870452881,1
scheme,395.1408863067627,2
scheme,418.70617866516113,3
compiler,652.9290676116943,1
compiler,651.6139507293701,2
compiler,691.8258666992187,3
