#JIS	SJIS	EUC	UTF-8	UTF-16
A1	A1	8EA1	EFBDA1	FF61
A2	A2	8EA2	EFBDA2	FF62
A3	A3	8EA3	EFBDA3	FF63
A4	A4	8EA4	EFBDA4	FF64
A5	A5	8EA5	EFBDA5	FF65
A6	A6	8EA6	EFBDA6	FF66
A7	A7	8EA7	EFBDA7	FF67
A8	A8	8EA8	EFBDA8	FF68
A9	A9	8EA9	EFBDA9	FF69
AA	AA	8EAA	EFBDAA	FF6A
AB	AB	8EAB	EFBDAB	FF6B
AC	AC	8EAC	EFBDAC	FF6C
AD	AD	8EAD	EFBDAD	FF6D
AE	AE	8EAE	EFBDAE	FF6E
AF	AF	8EAF	EFBDAF	FF6F
B0	B0	8EB0	EFBDB0	FF70
B1	B1	8EB1	EFBDB1	FF71
B2	B2	8EB2	EFBDB2	FF72
B3	B3	8EB3	EFBDB3	FF73
B4	B4	8EB4	EFBDB4	FF74
B5	B5	8EB5	EFBDB5	FF75
B6	B6	8EB6	EFBDB6	FF76
B7	B7	8EB7	EFBDB7	FF77
B8	B8	8EB8	EFBDB8	FF78
B9	B9	8EB9	EFBDB9	FF79
BA	BA	8EBA	EFBDBA	FF7A
BB	BB	8EBB	EFBDBB	FF7B
BC	BC	8EBC	EFBDBC	FF7C
BD	BD	8EBD	EFBDBD	FF7D
BE	BE	8EBE	EFBDBE	FF7E
BF	BF	8EBF	EFBDBF	FF7F
C0	C0	8EC0	EFBE80	FF80
C1	C1	8EC1	EFBE81	FF81
C2	C2	8EC2	EFBE82	FF82
C3	C3	8EC3	EFBE83	FF83
C4	C4	8EC4	EFBE84	FF84
C5	C5	8EC5	EFBE85	FF85
C6	C6	8EC6	EFBE86	FF86
C7	C7	8EC7	EFBE87	FF87
C8	C8	8EC8	EFBE88	FF88
C9	C9	8EC9	EFBE89	FF89
CA	CA	8ECA	EFBE8A	FF8A
CB	CB	8ECB	EFBE8B	FF8B
CC	CC	8ECC	EFBE8C	FF8C
CD	CD	8ECD	EFBE8D	FF8D
CE	CE	8ECE	EFBE8E	FF8E
CF	CF	8ECF	EFBE8F	FF8F
D0	D0	8ED0	EFBE90	FF90
D1	D1	8ED1	EFBE91	FF91
D2	D2	8ED2	EFBE92	FF92
D3	D3	8ED3	EFBE93	FF93
D4	D4	8ED4	EFBE94	FF94
D5	D5	8ED5	EFBE95	FF95
D6	D6	8ED6	EFBE96	FF96
D7	D7	8ED7	EFBE97	FF97
D8	D8	8ED8	EFBE98	FF98
D9	D9	8ED9	EFBE99	FF99
DA	DA	8EDA	EFBE9A	FF9A
DB	DB	8EDB	EFBE9B	FF9B
DC	DC	8EDC	EFBE9C	FF9C
DD	DD	8EDD	EFBE9D	FF9D
DE	DE	8EDE	EFBE9E	FF9E
DF	DF	8EDF	EFBE9F	FF9F
#JIS	SJIS	EUC	UTF-8	UTF-16
2121	8140	A1A1	E38080	3000
2122	8141	A1A2	E38081	3001
2123	8142	A1A3	E38082	3002
2124	8143	A1A4	EFBC8C	FF0C
2125	8144	A1A5	EFBC8E	FF0E
2126	8145	A1A6	E383BB	30FB
2127	8146	A1A7	EFBC9A	FF1A
2128	8147	A1A8	EFBC9B	FF1B
2129	8148	A1A9	EFBC9F	FF1F
212A	8149	A1AA	EFBC81	FF01
212B	814A	A1AB	E3829B	309B
212C	814B	A1AC	E3829C	309C
